Latitude cane,GJ net cane energy per GJ NPP,Ha cane,Ha cane normalized to max
-11.542,0.867119795,923.6,0.0073888
-11.625,1.525889986,722.11,0.00577688
-11.708,1.62587836,719.23,0.00575384
-11.792,2.013838771,784.38,0.00627504
-11.875,1.659448038,869.89,0.00695912
-11.958,2.116343799,1007.4,0.0080592
-12.042,1.369201874,1204.9,0.0096392
-12.125,1.055038561,1359.9,0.0108792
-12.208,1.322852893,1657.1,0.0132568
-12.292,1.127068674,3991.1,0.0319288
-12.375,1.087926667,4667.6,0.0373408
-12.458,1.003962977,3516.8,0.0281344
-12.542,0.947775259,4369.2,0.0349536
-12.625,0.963316743,4322.1,0.0345768
-12.708,0.991017695,3494.8,0.0279584
-12.792,1.097434598,2725.4,0.0218032
-12.875,1.049322699,3093.7,0.0247496
-12.958,1.193626797,3143.4,0.0251472
-13.042,1.182873721,3778.4,0.0302272
-13.125,0.967974691,4358.2,0.0348656
-13.208,0.88540395,3830,0.03064
-13.292,1.048672834,4872.9,0.0389832
-13.375,0.988117095,5257,0.042056
-13.458,0.920546739,5084.7,0.0406776
-13.542,0.937482586,4617.6,0.0369408
-13.625,0.973780294,5812.4,0.0464992
-13.708,0.996960939,5376,0.043008
-13.792,1.021441445,6529.7,0.0522376
-13.875,1.016670717,6040.3,0.0483224
-13.958,1.038778492,6167.1,0.0493368
-14.042,0.952593432,8195.4,0.0655632
-14.125,0.959623342,7107.2,0.0568576
-14.208,0.993805614,5922.4,0.0473792
-14.292,1.009427347,6223.3,0.0497864
-14.375,0.973131306,9443,0.075544
-14.458,0.976512477,9440.5,0.075524
-14.542,0.953991051,13263,0.106104
-14.625,0.931559237,17782,0.142256
-14.708,0.94010284,17082,0.136656
-14.792,0.923066095,19007,0.152056
-14.875,0.947067236,20431,0.163448
-14.958,0.97224107,17629,0.141032
-15.042,0.928592182,17531,0.140248
-15.125,0.954704268,12349,0.098792
-15.208,0.946710423,12932,0.103456
-15.292,0.94392828,12320,0.09856
-15.375,0.967886377,10113,0.080904
